Lectin Name,Short Names,UniProt ID,PDB IDs,LfDB IDs,Monosaccharide Specificities,Species,Taxonomy ID,MCAW IDs
Agglutinin isolectin 2,,P02876,"[""2WGC"",""9WGA""]",,,Triticum aestivum,4565,
Agglutinin isolectin 3 (Fragment),"[""WGA""]",P10969,"[""1K7T"",""1K7U"",""1K7V"",""1WGT"",""2X52""]","[""LfDB0163""]","[""GlcNAc""]",Triticum aestivum,4565,
Agglutinin isolectin VI (Fragment),,Q9SYR5,"[""1EIS""]",,,Urtica dioica,3501,
Agglutinin-1,,Q9M6E9,"[""2Q3N"",""2ZR1""]",,,Abrus precatorius,3816,
Agglutinin-1 (Fragments),,P83672,,,,Pomacea flagellata,249358,
Aggrecan core protein,,P07898,,,,Gallus gallus,9031,
Aggrecan core protein,,P13608,,,,Bos taurus,9913,
Aggrecan core protein,,Q28343,,,,Canis lupus familiaris,9615,
Aggrecan core protein,,P16112,"[""4MD4""]",,,Homo sapiens,9606,
Aggrecan core protein,,Q61282,,,,Mus musculus,10090,
Aggrecan core protein,,P07897,"[""1TDQ""]",,,Rattus norvegicus,10116,
Aldose 1-epimerase,,P31765,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),71421,
Aldose 1-epimerase,,P05149,,,,Acinetobacter calcoaceticus,471,
Aldose 1-epimerase,,P0A9C3,,,,Escherichia coli (strain K12),83333,
Aldose 1-epimerase,,P21955,,,,Streptococcus thermophilus,1308,
Aldose 1-epimerase,,P0A9C4,,,,Shigella flexneri,623,
Aldose 1-epimerase,,P39840,"[""3MWX"",""4BZE"",""4BZF"",""4BZG"",""4BZH""]",,,Bacillus subtilis (strain 168),224308,
Aldose 1-epimerase (Fragment),,Q00053,,,,Lactobacillus helveticus,1587,
"Alpha,alpha-trehalose phosphorylase",,Q8L164,,,,Thermoanaerobacter brockii,29323,
"Alpha,alpha-trehalose phosphorylase",,Q8GRC3,,,,Geobacillus stearothermophilus,1422,
Alpha-(1-6)-linked fucose-specific lectin (Fragment),,P83973,,,,Rhizopus stolonifer,4846,
"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",,Q921V5,,,,Mus musculus,10090,
"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",,Q09326,,,,Rattus norvegicus,10116,
Alpha-D-galactose-binding lectin,,B3EWR1,"[""3WMU"",""3WMV""]",,,Mytilus galloprovincialis,29158,
Alpha-N-acetylgalactosamine-specific lectin,,Q8WPD0,,,,Patiria pectinifera,7594,
Alpha-agarase,,A1IGV8,,,,Thalassotalea agarivorans,349064,
Alpha-agarase,,Q9LAP7,,,,Alteromonas agarilytica,105692,
Alpha-amylase,,P49067,,,,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),186497,
Alpha-amylase,,Q9V298,,,,Pyrococcus abyssi (strain GE5 / Orsay),272844,
Alpha-amylase,,Q05884,,,,Streptomyces lividans,1916,
Alpha-amylase,,O57932,,,,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),70601,
Alpha-amylase 1,,P09961,,,,Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12),309799,
Alpha-amylase inhibitor 1,,P02873,"[""1DHK"",""1VIW""]",,,Phaseolus vulgaris,3885,
Alpha-amylase inhibitor 2,,Q41114,,,,Phaseolus vulgaris,3885,
Alpha-galactosidase,,G4FEF4,"[""1ZY9"",""5M0X"",""5M12"",""5M16"",""5M1I"",""6GTA"",""6GVD"",""6GWF"",""6GWG"",""6GX8""]",,,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),243274,
Alpha-galactosidase,,Q82L26,"[""3A21"",""3A22"",""3A23""]",,,Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680),227882,
Alpha-galactosidase A,,P28351,,,,Aspergillus niger,5061,
Alpha-galactosyl-binding lectin,,A7UNK4,"[""4NDS"",""4NDT"",""4NDU"",""4NDV""]",,,Lyophyllum decastes,64660,
Alpha-glucosidase,,O04931,,,,Beta vulgaris,161934,
Alpha-glucosidase,,D0KQM8,,,,Saccharolobus solfataricus (strain 98/2),555311,
Alpha-glucosidase,,Q43763,,,,Hordeum vulgare,4513,
Alpha-glucosidase,,Q12558,,,,Aspergillus oryzae (strain ATCC 42149 / RIB 40),510516,
Alpha-glucosidase,,Q92442,,,,Mucor javanicus,51122,
Alpha-glucosidase,,P0CD66,"[""2G3M"",""2G3N""]",,,Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2),273057,
Alpha-glucosidase,,P29064,,,,Candida tsukubaensis,5483,
Alpha-glucosidase,,P56526,,,,Aspergillus niger,5061,
Alpha-glucosidase,,O04893,,,,Spinacia oleracea,3562,
Alpha-glucosidase,,Q9C0Y4,,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843),284812,
Alpha-glucosidase 2,,Q9F234,,,,Bacillus thermoamyloliquefaciens,1425,
Alpha-mannosidase,,Q9UT61,"[""6LZ1"",""7DD9""]",,,Schizosaccharomyces pombe (strain 972 / ATCC 24843),284812,
Alpha-mannosidase,,P22855,"[""5JM0""]",,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),559292,
Alpha-mannosidase,,C0HJB3,"[""6B9O"",""6B9P""]",,,Canavalia ensiformis,3823,
Alpha-mannosidase (Fragments),,C0HJW7,,,,Lablab purpureus,35936,
Alpha-mannosidase 2,,Q9LFR0,,,,Arabidopsis thaliana,3702,
Alpha-mannosidase 2,,Q24451,"[""1HTY"",""1HWW"",""1HXK"",""1PS3"",""1QWN"",""1QWU"",""1QX1"",""1R33"",""1R34"",""1TQS"",""1TQT"",""1TQU"",""1TQV"",""1TQW"",""2ALW"",""2F18"",""2F1A"",""2F1B"",""2F7O"",""2F7P"",""2F7Q"",""2F7R"",""2FYV"",""2OW6"",""2OW7"",""3BLB"",""3BUB"",""3BUD"",""3BUI"",""3BUP"",""3BUQ"",""3BVT"",""3BVU"",""3BVV"",""3BVW"",""3BVX"",""3CV5"",""3CZN"",""3CZS"",""3D4Y"",""3D4Z"",""3D50"",""3D51"",""3D52"",""3DDF"",""3DDG"",""3DX0"",""3DX1"",""3DX2"",""3DX3"",""3DX4"",""3EJP"",""3EJQ"",""3EJR"",""3EJS"",""3EJT"",""3EJU"",""6RPC"",""6RQZ"",""6RRH"",""6RRJ"",""6RRN"",""6RRU"",""6RRW"",""6RRX"",""6RRY"",""6RS0""]",,,Drosophila melanogaster,7227,
Alpha-mannosidase 2,,P27046,,,,Mus musculus,10090,
Alpha-mannosidase 2,,Q16706,,,,Homo sapiens,9606,
Alpha-mannosidase 2,,O18497,,,,Spodoptera frugiperda,7108,
Alpha-mannosidase 2,,P28494,,,,Rattus norvegicus,10116,
Alpha-mannosidase 2C1,,P21139,,,,Rattus norvegicus,10116,
Alpha-mannosidase 2C1,,Q91W89,,,,Mus musculus,10090,
Alpha-mannosidase 2C1,,Q9NTJ4,,,,Homo sapiens,9606,
Alpha-mannosidase 2x,,Q8BRK9,,,,Mus musculus,10090,
Alpha-mannosidase 2x,,P49641,,,,Homo sapiens,9606,
Alpha-mannosidase At3g26720,,P94078,,,,Arabidopsis thaliana,3702,
Alpha-mannosidase B,,Q54YF7,,,,Dictyostelium discoideum,44689,
Alpha-mannosidase C,,Q55ER0,,,,Dictyostelium discoideum,44689,
Alpha-mannosidase D,,Q54YC4,,,,Dictyostelium discoideum,44689,
Alpha-mannosidase E,,Q1ZXI8,,,,Dictyostelium discoideum,44689,
Alpha-mannosidase F,,Q54KN4,,,,Dictyostelium discoideum,44689,
Alpha-mannosidase G,,Q54K67,,,,Dictyostelium discoideum,44689,
Alpha-xylosidase,,Q9P999,,,,Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2),273057,
Alpha-xylosidase,,P31434,"[""1WE5"",""1XSI"",""1XSJ"",""1XSK"",""2F2H""]",,,Escherichia coli (strain K12),83333,
Alpha-xylosidase,,Q5AW25,,,,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),227321,
Alpha-xylosidase 1,,Q9S7Y7,,,,Arabidopsis thaliana,3702,
Alpha-xylosidase A,,A2QTU5,"[""6DRU""]",,,Aspergillus niger (strain CBS 513.88 / FGSC A1513),425011,
Alpha-xylosidase BoGH31A,,A7LXT0,"[""5JOU"",""5JOV""]",,,Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / BCRC 10623 / CCUG 4943 / NCTC 11153),411476,
Alpha-xylosidase XylQ,,P96793,,,,Lactiplantibacillus pentosus,1589,
Alpha/beta-glucosidase agdC,,Q5AWI5,,,,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),227321,
Annexin A4,,P13214,"[""1ANN"",""1AOW"",""1I4A""]",,,Bos taurus,9913,
Anti-H(O) lectin,"[""LTA"",""LTL""]",P19664,"[""2EIG""]","[""LfDB0178""]","[""Fuc""]",Lotus tetragonolobus,3868,
Anti-H(O) lectin 1,"[""UEA I""]",P22972,"[""1FX5"",""1JXN""]","[""LfDB0185""]","[""Fuc""]",Ulex europaeus,3902,"[""4878"",""4879"",""4880""]"
Anti-H(O) lectin 1,,P22970,,,,Cytisophyllum sessilifolium,3834,
Anti-H(O) lectin 2,,P22973,"[""1QNW""]",,,Ulex europaeus,3902,
Anti-H(O) lectin 2,,P22971,,,,Cytisophyllum sessilifolium,3834,
Anti-H(O) lectin 3 (Fragment),,P23032,,,,Ulex europaeus,3902,
Anti-tumor lectin (Fragment),,Q6WY08,"[""1WW4"",""1WW5"",""1WW6"",""1WW7"",""2ZGK"",""2ZGL"",""2ZGM"",""2ZGN"",""2ZGO"",""2ZGP"",""2ZGQ"",""2ZGR"",""2ZGS"",""2ZGT"",""2ZGU"",""3AFK"",""3M3C"",""3M3E"",""3M3O"",""3M3Q"",""3WG1"",""3WG2"",""3WG3"",""3WG4""]",,,Agrocybe aegerita,5400,"[""1472""]"
Antifreeze protein (Fragment),,A1YIY3,"[""3P4G"",""4KDV"",""4KDW"",""5J6Y"",""5JUH"",""5K8G"",""6X5V"",""6X5W"",""6X6M"",""6X6Q"",""6X7J"",""6X7T"",""6X7X"",""6X7Y"",""6X7Z"",""6X8A"",""6X8D"",""6X8Y"",""6X95"",""6X9M"",""6X9P"",""6XA5"",""6XAC"",""6XAQ""]",,,Marinomonas primoryensis,178399,
Antifungal lectin PVAP (Fragment),,P84869,,,,Phaseolus vulgaris,3885,
Antifungal protein,,Q9AXZ2,"[""1XD5""]",,,Gastrodia elata,91201,
Antifungal protein ginkbilobin-2,,A4ZDL6,"[""3A2E"",""4XRE""]",,,Ginkgo biloba,3311,
Antimicrobial peptide 2,,P27275,"[""1MMC"",""1ZNT"",""1ZUV"",""1ZWU""]",,,Amaranthus caudatus,3567,
Arabinoxylan arabinofuranohydrolase,,P45796,"[""1UX7"",""1W0N""]",,,Paenibacillus polymyxa,1406,
Arabinoxylan arabinofuranohydrolase,,Q45071,"[""3C7E"",""3C7F"",""3C7G"",""3C7H"",""3C7O""]",,,Bacillus subtilis (strain 168),224308,
Arcelin-1,,P19329,"[""1AVB""]",,,Phaseolus vulgaris,3885,
Arcelin-2,,P19330,,,,Phaseolus vulgaris,3885,
Arcelin-4,,Q43629,,,,Phaseolus vulgaris,3885,
Arcelin-5A,,Q42460,"[""1IOA""]",,,Phaseolus vulgaris,3885,
Arcelin-5B,,Q41116,,,,Phaseolus vulgaris,3885,
ArtB protein,,Q404H3,"[""5WHU"",""5WHV""]",,,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,85569,
Asialoglycoprotein receptor 1,,P02706,,,,Rattus norvegicus,10116,
Asialoglycoprotein receptor 1,,P07306,"[""1DV8"",""5JPV"",""5JQ1"",""6YAU""]",,,Homo sapiens,9606,
Asialoglycoprotein receptor 1,,P34927,,,,Mus musculus,10090,
Asialoglycoprotein receptor 1,,Q5RBQ8,,,,Pongo abelii,9601,
Asialoglycoprotein receptor 2,,P24721,,,,Mus musculus,10090,
Asialoglycoprotein receptor 2,,P08290,,,,Rattus norvegicus,10116,
Asialoglycoprotein receptor 2,,P07307,,,,Homo sapiens,9606,
Attractin,,Q9WU60,,,,Mus musculus,10090,
Attractin,,O75882,,,,Homo sapiens,9606,
Attractin,,Q99J86,,,,Rattus norvegicus,10116,
Attractin-like protein 1,,Q6A051,,,,Mus musculus,10090,
Attractin-like protein 1,,Q5VV63,,,,Homo sapiens,9606,
Autoinducer 2-binding protein LsrB,,Q74PW2,"[""3T95""]",,,Yersinia pestis,632,
B-cell differentiation antigen CD72,,P21855,"[""5B1R""]",,,Mus musculus,10090,
B-cell differentiation antigen CD72,,P21854,,,,Homo sapiens,9606,
B-cell receptor CD22,,Q9N1E4,,,,Gorilla gorilla gorilla,9595,
B-cell receptor CD22,,P20273,"[""5VKJ"",""5VKM"",""5VL3""]",,,Homo sapiens,9606,
B-cell receptor CD22,,Q9N1E5,,,,Pan paniscus,9597,
B-cell receptor CD22,,Q9N1E6,,,,Pan troglodytes,9598,
B-cell receptor CD22,,P35329,,,,Mus musculus,10090,
B-cell receptor CD22 (Fragment),,Q9N1E3,,,,Pongo pygmaeus,9600,
BA75_04148T0,,A0A1B2JGH2,"[""6HOS""]",,,Komagataella pastoris,4922,
BEL beta-trefoil,,R4GRU6,"[""4I4S""]",,,Boletus edulis,36056,
BEL beta-trefoil,,R4GRU9,"[""4I4X""]",,,Boletus edulis,36056,
BEL-beta trefoil,,R4GRU4,"[""4I4Q""]",,,Boletus edulis,36056,
Bacteriocin,,T2LG16,"[""4LE7"",""4LEA"",""4LED""]",,,Pseudomonas aeruginosa,287,
Bark agglutinin I polypeptide A,,Q41159,"[""1FNY"",""1FNZ""]",,,Robinia pseudoacacia,35938,
Bark agglutinin I polypeptide B,,Q42372,,,,Robinia pseudoacacia,35938,
Bark lectin (Fragment),,P93538,,,,Styphnolobium japonicum,3897,
Bark lectin isoform 1,,U3KRG0,"[""4IHZ"",""4II0""]",,,Crateva tapia,202635,
Bark lectin isoform 2,,C0HJA4,,,,Crateva tapia,202635,
Bark leucoagglutinin (Fragment),,P93248,,,,Maackia amurensis,37501,
Barwin,,P28814,"[""1BW3"",""1BW4""]",,,Hordeum vulgare,4513,
Basic agglutinin,,O24313,"[""1WBF"",""1WBL"",""2D3S"",""2DTW"",""2DTY"",""2DU0"",""2DU1"",""2E51"",""2E53"",""2E7Q"",""2E7T"",""2ZMK"",""2ZML"",""2ZMN""]",,,Psophocarpus tetragonolobus,3891,
Basic lectin B1 (Fragment),,P22584,,,,Psophocarpus scandens,3890,
Basic lectin B2 (Fragment),,P22585,,,,Psophocarpus scandens,3890,
Beta propeller,,A0A140UHM9,"[""5C2N""]",,,Enterobacteria phage L1,268588,
"Beta-1,3-galactosyltransferase GALT1",,Q8L7F9,,,,Arabidopsis thaliana,3702,
"Beta-1,3-glucan-binding protein",,Q76DI2,,,,Tenebrio molitor,7067,
"Beta-1,3-glucan-binding protein (Fragment)",,O96363,,,,Hyphantria cunea,39466,
"Beta-1,3-glucan-binding protein 1",,Q9NJ98,,,,Manduca sexta,7130,
"Beta-1,3-glucan-binding protein 1",,Q0E666,,,,Galleria mellonella,7137,
"Beta-1,3-glucan-binding protein 2",,Q8ISB6,,,,Manduca sexta,7130,
Beta-agarase AgaB34,,A8W969,,,,Agarivorans albus,182262,
Beta-galactosidase,,Q1G9Z4,,,,Lactobacillus delbrueckii subsp. bulgaricus (strain ATCC 11842 / DSM 20081 / BCRC 10696 / JCM 1002 / NBRC 13953 / NCIMB 11778 / NCTC 12712 / WDCM 00102 / Lb 14),390333,
Beta-galactosidase,,Q7CIZ3,,,,Yersinia pestis,632,
Beta-galactosidase,,A1SWB8,,,,Psychromonas ingrahamii (strain 37),357804,
Beta-galactosidase,,A4W7D2,,,,Enterobacter sp. (strain 638),399742,
Beta-galactosidase,,Q59140,,,,Arthrobacter sp. (strain B7),86041,
Beta-galactosidase,,Q0TKT1,,,,Escherichia coli O6:K15:H31 (strain 536 / UPEC),362663,
Beta-galactosidase,,B1JI86,,,,Yersinia pseudotuberculosis serotype O:3 (strain YPIII),502800,
Beta-galactosidase,,O33815,,,,Staphylococcus xylosus,1288,
Beta-galactosidase,,A7MN76,,,,Cronobacter sakazakii (strain ATCC BAA-894),290339,
Beta-galactosidase,,P48980,,,,Solanum lycopersicum,4081,
Beta-galactosidase,,B1LIM9,,,,Escherichia coli (strain SMS-3-5 / SECEC),439855,
Beta-galactosidase,,Q03WL0,,,,Leuconostoc mesenteroides subsp. mesenteroides (strain ATCC 8293 / DSM 20343 / BCRC 11652 / CCM 1803 / JCM 6124 / NCDO 523 / NBRC 100496 / NCIMB 8023 / NCTC 12954 / NRRL B-1118 / 37Y),203120,
Beta-galactosidase,,P49676,,,,Brassica oleracea,3712,
Beta-galactosidase,,Q04F24,,,,Oenococcus oeni (strain ATCC BAA-331 / PSU-1),203123,
Beta-galactosidase,,Q9K9C6,,,,Alkalihalobacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125),272558,
Beta-galactosidase,,Q8X685,,,,Escherichia coli O157:H7,83334,
Beta-galactosidase,,A9MQ82,,,,Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980),41514,
Beta-galactosidase,,B2K6E6,,,,Yersinia pseudotuberculosis serotype IB (strain PB1/+),502801,
Beta-galactosidase,,A8AKB8,,,,Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696),290338,
Beta-galactosidase,,A7FH78,,,,Yersinia pseudotuberculosis serotype O:1b (strain IP 31758),349747,
Beta-galactosidase,,A5F5U6,,,,Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395),345073,
Beta-galactosidase,,Q8VNN2,,,,Escherichia coli,562,
Beta-galactosidase,,Q1RFJ2,,,,Escherichia coli (strain UTI89 / UPEC),364106,
Beta-galactosidase,,Q8D4H3,,,,Vibrio vulnificus (strain CMCP6),216895,
Beta-galactosidase,,A7ZWZ1,,,,Escherichia coli O9:H4 (strain HS),331112,
Beta-galactosidase,,P45582,,,,Asparagus officinalis,4686,
Beta-galactosidase,,Q669R9,,,,Yersinia pseudotuberculosis serotype I (strain IP32953),273123,
Beta-galactosidase,,Q7MG04,,,,Vibrio vulnificus (strain YJ016),196600,
Beta-galactosidase,,Q3Z583,,,,Shigella sonnei (strain Ss046),300269,
Beta-galactosidase,,Q8FKG6,,,,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),199310,
Beta-galactosidase,,P06219,,,,Klebsiella pneumoniae,573,
Beta-galactosidase,,O52847,,,,Priestia megaterium (strain DSM 319 / IMG 1521),592022,
Beta-galactosidase,,A4TLL5,,,,Yersinia pestis (strain Pestoides F),386656,
Beta-galactosidase,,A8GGN3,,,,Serratia proteamaculans (strain 568),399741,
